Id,Label
558,doc_228.10585_427.263
559,doc_991.33424_689.621
560,doc_282.11815_554.431
561,doc_105.06974_241.536
562,doc_243.09755_412.921
563,doc_245.16483_409.811
564,doc_371.31567_226.502
565,doc_369.24965_839.514
566,doc_86.06001_427.263
567,topic_30
568,doc_364.79478_611.45
569,doc_257.16061_1139.27
570,doc_560.4712_271.396
571,doc_264.07441_393.576
572,doc_355.15395_249.786
573,doc_195.13801_248.128
574,doc_185.09209_420.787
575,doc_227.10254_330.42
576,doc_267.12259_239.89
577,doc_158.0812_438.661
578,doc_265.15453_1145.81
579,doc_132.10188_518.554
580,doc_152.10695_196.938
581,doc_313.23734_243.181
582,doc_265.10696_228.159
583,doc_196.09686_330.42
584,topic_175
585,doc_372.18974_617.886
586,doc_398.21725_231.552
587,topic_174
588,doc_286.15073_625.833
589,doc_162.09133_305.834
590,doc_152.03182_483.773
591,doc_230.04813_440.293
592,doc_515.41312_223.606
593,doc_413.21294_1120.58
594,topic_123
595,doc_199.10775_390.305
596,doc_332.11056_468.549
597,doc_251.12762_208.697
598,topic_32
599,doc_299.16086_639.816
600,doc_146.11755_486.862
601,doc_351.12221_647.573
602,doc_158.08122_325.502
603,doc_239.15006_589.081
604,doc_236.14916_864.146
605,doc_220.08152_624.196
606,doc_490.19202_491.538
607,doc_180.13824_1111.52
608,topic_188
609,topic_189
610,doc_359.10373_286.004
611,doc_606.37016_269.747
612,doc_276.14406_435.357
613,topic_180
614,doc_188.09171_441.78
615,topic_182
616,topic_183
617,topic_184
618,doc_185.13967_973.218
619,topic_186
620,topic_149
621,doc_240.12299_254.771
622,doc_333.20596_207.039
623,doc_325.11289_668.607
624,doc_553.36919_276.253
625,doc_284.12787_277.93
626,doc_176.09174_556.072
627,doc_205.06826_614.695
628,doc_291.08388_465.402
629,doc_104.07058_556.072
630,doc_121.06484_481.014
631,topic_115
632,doc_84.08074_565.722
633,topic_78
634,topic_75
635,topic_74
636,doc_233.12434_703.375
637,topic_76
638,topic_71
639,topic_70
640,topic_73
641,doc_89.10731_756.994
642,doc_138.05488_546.349
643,doc_112.05052_552.842
644,doc_499.22482_711.245
645,doc_388.25394_281.137
646,doc_357.18441_968.872
647,doc_150.07745_438.661
648,topic_159
649,doc_708.51148_220.295
650,doc_258.10828_493.109
651,doc_146.08118_660.522
652,doc_318.15485_432.115
653,doc_97.02844_699.829
654,doc_118.08624_380.61
655,doc_212.09505_593.907
656,doc_130.09753_647.573
657,topic_224
658,doc_342.13951_701.499
659,doc_108.04439_422.465
660,doc_202.14378_284.365
661,doc_260.14913_857.431
662,topic_25
663,topic_36
664,topic_26
665,topic_177
666,topic_176
667,topic_171
668,topic_170
669,topic_173
670,doc_200.09176_300.895
671,topic_212
672,topic_179
673,topic_178
674,topic_220
675,doc_191.10254_598.691
676,doc_194.08116_372.653
677,topic_196
678,doc_218.10219_490.026
679,doc_135.1168_268.114
680,doc_229.15463_538.378
681,doc_227.10254_428.854
682,doc_163.13286_259.764
683,topic_23
684,doc_142.09753_877.741
685,doc_139.05018_187.597
686,doc_215.13902_457.696
687,doc_244.09286_559.317
688,doc_453.19811_428.854
689,doc_327.19533_208.697
690,topic_213
691,topic_80
692,doc_222.0798_305.834
693,doc_307.26319_243.181
694,doc_237.08689_443.301
695,doc_351.21261_655.682
696,doc_130.08629_567.28
697,doc_166.08624_499.47
698,doc_628.38313_269.747
699,doc_147.07636_630.413
700,doc_322.16361_767.866
701,doc_666.51284_269.747
702,doc_204.08669_668.607
703,doc_189.13445_925.292
704,doc_302.12098_501.043
705,doc_314.15982_412.921
706,doc_370.17083_311.22
707,doc_137.04578_512.17
708,doc_270.15455_469.996
709,doc_382.22217_231.552
710,topic_217
711,doc_300.12057_513.775
712,doc_134.08113_662.16
713,doc_237.14843_216.95
714,doc_212.09512_515.409
715,topic_211
716,topic_199
717,doc_435.12384_213.692
718,doc_483.22023_479.488
719,topic_198
720,doc_166.04996_422.465
721,doc_420.16289_635.166
722,doc_109.02845_464.065
723,doc_328.13907_419.222
724,doc_184.06051_362.957
725,doc_203.0526_694.864
726,doc_137.04582_438.661
727,doc_137.05974_390.305
728,doc_252.10766_567.28
729,doc_189.13455_1043
730,doc_161.12843_906.322
731,doc_162.09132_377.378
732,doc_447.27411_236.531
733,doc_287.22154_229.964
734,doc_156.07677_620.99
735,doc_229.15452_573.378
736,doc_420.18633_449.698
737,doc_319.14979_943.404
738,topic_45
739,topic_46
740,topic_47
741,doc_413.2129_1051.83
742,topic_41
743,topic_42
744,doc_280.09177_606.606
745,doc_251.18519_259.764
746,doc_479.11858_422.465
747,doc_261.12325_372.653
748,topic_48
749,topic_49
750,doc_289.06827_437.038
751,doc_386.16565_655.682
752,topic_210
753,doc_663.45372_221.946
754,topic_219
755,doc_255.13381_505.911
756,doc_237.08692_468.549
757,topic_61
758,doc_301.21216_238.237
759,doc_244.14032_1112.59
760,doc_254.10218_419.222
761,doc_247.14007_616.311
762,doc_321.1479_286.004
763,doc_301.11827_383.864
764,doc_145.04955_668.607
765,doc_248.11278_635.166
766,doc_469.20801_494.747
767,doc_416.21393_905.841
768,doc_240.12291_382.238
769,doc_277.15831_299.24
770,doc_98.06005_356.523
771,doc_284.12325_318.006
772,doc_309.0371_349.996
773,doc_244.0815_502.727
774,doc_116.0706_619.436
775,doc_163.05996_668.607
776,doc_97.02844_669.781
777,doc_169.09715_387.071
778,topic_249
779,topic_0
780,doc_204.12303_518.554
781,doc_229.14353_246.483
782,doc_336.16523_292.609
783,doc_412.12694_289.342
784,doc_218.13871_266.414
785,doc_140.0706_353.265
786,topic_233
787,doc_182.08107_585.875
788,doc_282.11956_358.105
789,doc_364.16146_465.402
790,doc_150.07606_649.151
791,topic_92
792,doc_118.08616_532.509
793,doc_247.09232_502.727
794,doc_193.07065_547.98
795,doc_181.12228_251.436
796,doc_315.1298_504.302
797,doc_601.2718_867.129
798,doc_371.14695_327.143
799,doc_166.12268_282.73
800,doc_578.22671_263.096
801,doc_166.08629_290.983
802,doc_529.17571_513.775
803,topic_230
804,topic_231
805,doc_502.24956_517.032
806,topic_97
807,doc_331.24799_251.436
808,doc_204.08664_547.98
809,topic_238
810,doc_143.08151_501.043
811,topic_209
812,doc_98.06006_390.305
813,topic_94
814,doc_515.41319_279.485
815,doc_378.2637_205.41
816,topic_56
817,doc_291.16318_632.053
818,doc_210.11246_244.833
819,doc_324.21702_220.295
820,doc_175.02367_705.821
821,doc_363.21632_208.697
822,doc_304.10025_554.431
823,doc_124.03936_390.305
824,doc_379.15988_309.802
825,doc_313.17975_210.369
826,doc_212.09513_557.68
827,doc_291.16316_593.907
828,topic_128
829,doc_295.11348_589.081
830,doc_279.159_236.531
831,doc_292.19063_221.946
832,doc_217.06824_619.436
833,doc_234.13352_302.542
834,doc_194.10233_838.134
835,topic_120
836,doc_222.11246_286.004
837,topic_126
838,doc_258.20632_224.227
839,topic_124
840,topic_125
841,doc_408.24035_731.995
842,doc_506.25466_226.502
843,doc_177.10022_654.09
844,doc_455.21367_955.832
845,doc_146.11756_369.407
846,doc_216.12311_409.811
847,topic_181
848,doc_267.05863_499.47
849,doc_471.21861_688.576
850,doc_148.09678_843.717
851,doc_230.18628_737.04
852,doc_233.1132_564.091
853,doc_202.06858_728.455
854,doc_76.0757_1027.18
855,doc_354.191_243.181
856,doc_272.13516_669.781
857,doc_288.10539_633.586
858,doc_132.10192_380.61
859,doc_73.06479_468.549
860,topic_135
861,doc_184.06045_518.554
862,topic_67
863,doc_156.0768_668.607
864,doc_140.07064_412.921
865,doc_111.04405_593.907
866,doc_121.06481_459.215
867,doc_109.02845_668.607
868,doc_340.18674_290.983
869,doc_104.10696_988.951
870,doc_553.30974_297.637
871,doc_158.1176_494.747
872,doc_344.09753_491.538
873,doc_184.06046_266.414
874,doc_413.21296_1076.57
875,doc_163.05996_513.775
876,doc_120.08076_499.47
877,doc_145.04957_466.972
878,doc_308.18565_233.227
879,doc_341.18127_751.107
880,doc_408.27431_207.039
881,doc_135.10155_369.407
882,doc_276.12295_266.414
883,doc_156.0655_451.307
884,doc_259.20147_251.436
885,doc_846.30842_686.301
886,topic_132
887,topic_137
888,doc_446.15175_677.129
889,doc_276.15782_595.502
890,doc_180.0866_726.388
891,doc_184.07331_617.886
892,doc_334.13967_541.633
893,doc_246.13353_797.795
894,doc_104.10683_933.266
895,doc_198.08732_479.488
896,doc_369.11816_290.983
897,doc_307.09988_614.695
898,doc_121.0648_259.764
899,doc_306.1336_281.137
900,doc_794.29776_606.606
901,topic_136
902,doc_431.27921_203.748
903,doc_152.05672_624.196
904,doc_148.0968_372.653
905,doc_180.06555_412.921
906,doc_763.28442_515.409
907,doc_213.14851_248.128
908,doc_231.13375_578.163
909,doc_1026.37226_662.16
910,doc_252.0865_499.47
911,doc_188.12809_292.609
912,doc_173.1397_1200.22
913,topic_10
914,doc_146.08117_471.593
915,topic_16
916,doc_342.1548_348.358
917,topic_14
918,doc_111.11681_183.681
919,doc_235.91289_186.196
920,doc_261.0369_652.424
921,doc_270.11825_554.431
922,doc_257.16059_966.056
923,doc_248.10052_417.639
924,doc_325.11287_513.775
925,topic_246
926,doc_145.13354_908.986
927,topic_190
928,topic_101
929,doc_137.05975_406.488
930,doc_162.07608_720.791
931,doc_212.09509_619.436
932,topic_81
933,topic_82
934,doc_298.09687_412.921
935,topic_84
936,doc_279.15481_377.378
937,topic_86
938,doc_150.09138_452.947
939,topic_88
940,topic_89
941,doc_649.21872_677.61
942,topic_195
943,doc_240.10764_688.576
944,doc_180.13824_1176.41
945,doc_89.05967_437.038
946,topic_91
947,doc_189.15968_859.763
948,doc_189.12327_502.727
949,topic_15
950,doc_186.07611_441.78
951,doc_370.16089_491.538
952,topic_107
953,doc_300.08439_300.895
954,topic_108
955,doc_291.26812_238.237
956,doc_198.11248_387.071
957,doc_1009.3453_662.16
958,doc_205.11832_597.184
959,doc_504.19253_675.926
960,doc_189.08691_488.384
961,doc_320.13405_460.808
962,doc_513.18886_210.369
963,doc_260.11272_543.289
964,doc_249.08444_428.854
965,topic_166
966,doc_166.12262_723.897
967,topic_164
968,doc_432.20766_513.775
969,doc_255.17016_835.064
970,topic_163
971,topic_160
972,topic_161
973,topic_247
974,doc_131.12913_850.604
975,topic_245
976,doc_228.14548_1120.26
977,topic_243
978,topic_242
979,doc_258.10841_473.204
980,doc_276.15795_636.638
981,doc_367.21161_212.026
982,topic_57
983,topic_150
984,doc_280.1543_256.419
985,doc_265.13927_684.096
986,doc_608.23994_649.151
987,topic_19
988,topic_156
989,doc_306.16851_517.032
990,topic_18
991,doc_210.17001_322.471
992,topic_155
993,doc_260.14908_955.832
994,doc_111.11682_229.964
995,doc_196.13323_274.685
996,doc_349.2008_210.369
997,doc_131.12911_905.222
998,doc_324.15542_452.947
999,doc_203.1503_1065.25
1000,doc_476.13764_564.091
1001,doc_138.09137_459.215
1002,doc_245.18593_259.764
1003,doc_331.14753_797.174
1004,doc_326.17101_297.637
1005,doc_212.09533_456.158
1006,doc_81.03351_671.807
1007,topic_11
1008,doc_236.11278_241.536
1009,doc_342.15476_304.187
1010,doc_259.1582_815.239
1011,doc_121.0648_515.409
1012,doc_143.08145_582.999
1013,doc_387.15665_208.697
1014,doc_198.11249_459.215
1015,doc_190.10737_416.08
1016,doc_829.28123_684.58
1017,topic_208
1018,doc_383.20642_282.73
1019,doc_188.12813_411.438
1020,doc_294.1642_756.51
1021,doc_96.04438_393.576
1022,doc_435.12642_310.69
1023,doc_266.11347_294.27
1024,doc_163.06007_466.972
1025,doc_438.21067_674.743
1026,doc_127.03898_669.781
1027,doc_152.107_259.764
1028,doc_342.13954_714.479
1029,doc_254.10218_330.42
1030,doc_486.18176_520.119
1031,doc_131.12912_973.922
1032,topic_201
1033,doc_124.03936_354.896
1034,doc_372.18967_636.638
1035,doc_203.10262_336.992
1036,topic_55
1037,topic_54
1038,topic_53
1039,topic_52
1040,topic_51
1041,topic_50
1042,doc_165.07573_517.032
1043,doc_124.03935_335.339
1044,doc_266.15963_872.604
1045,topic_58
1046,doc_510.21608_518.554
1047,doc_100.07567_387.071
1048,doc_99.04405_443.301
1049,doc_251.13887_911.813
1050,doc_323.17141_565.722
1051,topic_40
1052,doc_227.10254_374.23
1053,doc_506.18717_568.665
1054,doc_273.10796_619.436
1055,doc_173.0421_559.317
1056,doc_110.06007_380.61
1057,doc_394.25876_208.697
1058,topic_43
1059,doc_162.05831_277.93
1060,doc_215.04844_310.69
1061,doc_553.36897_223.606
1062,doc_353.19594_218.622
1063,topic_229
1064,doc_654.33223_223.606
1065,doc_127.03897_699.829
1066,doc_174.11251_457.696
1067,doc_246.07946_411.438
1068,doc_295.14995_687.048
1069,doc_163.06002_627.372
1070,topic_235
1071,doc_131.12915_872.604
1072,doc_127.03897_346.733
1073,doc_216.12305_385.459
1074,doc_163.06003_601.884
1075,doc_325.08943_460.808
1076,doc_273.18064_254.771
1077,topic_185
1078,doc_160.13322_264.755
1079,doc_264.14408_241.536
1080,doc_540.27088_263.096
1081,doc_314.1664_878.494
1082,doc_254.16094_1153.58
1083,doc_152.107_316.513
1084,doc_175.11894_1027.77
1085,doc_133.06885_565.722
1086,doc_417.26345_203.748
1087,doc_242.11342_479.488
1088,doc_205.09718_554.431
1089,doc_121.06481_354.896
1090,doc_309.16551_736.276
1091,doc_388.18113_513.775
1092,doc_132.06554_435.357
1093,topic_200
1094,topic_207
1095,topic_206
1096,topic_205
1097,topic_204
1098,doc_173.12852_406.488
1099,doc_277.16578_749.46
1100,doc_489.24841_210.369
1101,doc_268.10247_597.184
1102,doc_311.12365_570.233
1103,doc_174.07613_451.307
1104,doc_127.05023_414.504
1105,doc_180.10186_369.407
