Topic 46,loss_59.03729,fragment_116.07104,loss_87.06837,loss_129.07873,loss_117.07887,fragment_169.09672,fragment_99.05564,fragment_129.0742,fragment_123.08075,fragment_139.05833,fragment_169.0612,loss_132.08952,loss_87.03189,fragment_134.02756,fragment_134.01282,loss_334.21407,fragment_133.59714,fragment_133.10075,fragment_133.09783
Topic 47,fragment_55.01819,loss_263.17285,loss_334.21407,fragment_134.08154,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.09674,fragment_133.07609,fragment_134.9566,fragment_135.00705
Topic 48,fragment_58.99519,fragment_122.02685,loss_63.99829,fragment_76.02142,loss_105.07886,loss_88.05254,fragment_104.05296,fragment_108.04742,loss_56.02631,fragment_90.03746,loss_42.04691,fragment_123.06782,fragment_253.14397,fragment_138.09131,fragment_105.00058,fragment_86.98994,fragment_132.06547,fragment_132.04388,fragment_134.01282
Topic 49,loss_165.09981,fragment_152.08244,fragment_91.0393,fragment_78.9669,loss_135.08938,fragment_74.00601,fragment_120.01169,fragment_95.06068,fragment_224.0665,loss_106.02643,fragment_198.08729,fragment_136.05042,loss_43.98973,fragment_81.04501,fragment_138.02214,fragment_180.07586,fragment_224.98878,fragment_178.0622,fragment_196.07189
Topic 50,fragment_213.09784,fragment_126.10251,fragment_141.11379,fragment_156.97389,fragment_118.03496,loss_148.06019,fragment_82.06492,fragment_100.02403,fragment_174.98625,loss_61.99999,fragment_99.09219,fragment_179.9797,loss_103.03847,fragment_124.08683,loss_79.02691,fragment_134.04498,loss_334.21407,fragment_134.03645,fragment_134.04673
Topic 51,fragment_96.04408,fragment_81.03328,loss_281.18385,fragment_117.09079,fragment_309.18078,fragment_150.0922,fragment_112.03978,fragment_87.03152,fragment_132.08126,fragment_132.39426,fragment_162.11279,fragment_86.09648,fragment_134.01282,fragment_134.04803,fragment_134.03645,fragment_134.04498,fragment_133.59714,fragment_134.04673,fragment_134.02756
Topic 52,loss_115.02658,loss_178.04747,fragment_127.05067,loss_177.09994,fragment_243.07153,fragment_99.05564,fragment_203.05468,loss_159.08947,fragment_101.02307,fragment_225.06213,fragment_197.06788,loss_148.06019,fragment_185.04479,fragment_260.08752,fragment_152.04527,fragment_242.07553,fragment_133.59714,fragment_133.09783,fragment_133.09596
Topic 53,loss_79.95759,fragment_123.04456,fragment_274.14302,fragment_278.17395,fragment_141.09129,fragment_147.04347,fragment_370.06085,fragment_161.05882,fragment_171.04453,fragment_131.06923,fragment_134.04498,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_131.05383,fragment_131.04932,fragment_134.03645
Topic 54,loss_43.98973,fragment_106.06497,loss_27.99539,fragment_92.04938,fragment_139.06302,fragment_150.05557,fragment_93.05775,fragment_120.05769,fragment_198.07678,loss_122.00377,fragment_107.07302,fragment_168.0649,fragment_102.05461,fragment_140.07009,fragment_99.08098,fragment_181.07234,fragment_108.04416,fragment_120.04411,fragment_152.07014
Topic 55,fragment_124.0764,fragment_93.03393,loss_59.03653,loss_87.06837,fragment_96.04408,loss_115.06322,fragment_196.06142,loss_97.0527,fragment_133.59714,fragment_134.01282,fragment_134.05987,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_133.10075,loss_334.21407,fragment_133.09783
Topic 56,loss_105.04226,fragment_126.09183,loss_133.07378,fragment_130.08698,loss_103.06319,fragment_143.11751,loss_119.05777,fragment_98.09679,loss_63.03127,fragment_161.12869,loss_73.05244,loss_136.0846,fragment_67.0545,loss_147.08937,fragment_85.06472,loss_77.04739,fragment_167.11825,fragment_115.12333,loss_59.03653
Topic 57,fragment_121.02825,fragment_167.03434,fragment_197.04416,fragment_60.04474,fragment_96.04408,fragment_84.04465,fragment_179.033,fragment_81.03328,fragment_151.03854,fragment_120.04411,fragment_94.06543,fragment_214.07199,fragment_136.0398,loss_138.05229,loss_96.04179,fragment_98.05994,fragment_97.0283,fragment_138.05451,fragment_125.02333
Topic 58,loss_75.03203,loss_127.02662,loss_129.04234,fragment_51.02335,loss_85.01616,fragment_135.04424,fragment_135.05326,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_135.05033,fragment_134.04803
Topic 59,fragment_146.06089,fragment_118.06543,fragment_192.06653,fragment_91.05405,fragment_89.03855,fragment_116.04979,fragment_85.06472,loss_163.04779,fragment_184.09561,fragment_117.05702,fragment_162.05598,fragment_157.12326,fragment_134.04498,fragment_134.03645,fragment_134.02756,fragment_134.01282,fragment_133.59714,fragment_134.04673,fragment_134.04803
Topic 60,loss_130.11016,fragment_58.06551,fragment_114.09116,loss_74.08445,loss_104.09496,fragment_171.14863,loss_116.09482,fragment_117.10269,fragment_131.11766,fragment_134.04498,fragment_134.03645,loss_334.21407,fragment_134.02756,fragment_134.01282,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_133.59714,fragment_134.04803
Topic 61,loss_74.03661,fragment_98.09679,loss_42.04691,loss_104.04715,loss_61.99999,loss_60.02086,fragment_102.05554,fragment_90.03746,fragment_124.07513,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.08154,fragment_134.05987,fragment_133.10075,fragment_134.09674
Topic 62,fragment_129.06982,fragment_143.08502,fragment_117.07022,fragment_157.10102,fragment_159.11641,fragment_145.10125,fragment_81.06995,fragment_119.0856,fragment_91.05405,fragment_79.0541,fragment_67.0545,fragment_271.20506,fragment_107.0855,fragment_313.21602,fragment_295.20468,fragment_169.10079,fragment_253.19379,fragment_171.11657,fragment_95.01322
Topic 63,fragment_73.02844,fragment_153.1268,fragment_255.15766,loss_177.09994,fragment_117.0547,fragment_134.04498,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,loss_334.21407,fragment_133.06434,fragment_134.04803,fragment_134.05987
Topic 64,loss_36.02171,loss_82.02662,fragment_83.04886,fragment_111.04417,fragment_275.1618,fragment_239.14079,fragment_81.03328,fragment_130.08698,loss_163.08426,fragment_128.07017,loss_66.03166,loss_165.09981,fragment_227.13915,fragment_147.11293,loss_146.05758,fragment_257.14854,fragment_139.09706,fragment_110.05967,fragment_95.04928
Topic 65,fragment_154.08562,fragment_172.09742,fragment_162.0541,loss_27.99539,fragment_116.04979,fragment_89.03855,loss_73.99993,fragment_144.13789,loss_120.07848,fragment_110.05967,fragment_134.05987,fragment_76.02142,fragment_144.10178,fragment_97.06456,fragment_85.06472,fragment_126.09183,fragment_130.0857,fragment_144.04436,fragment_109.0525
Topic 66,loss_171.08921,loss_97.0527,loss_143.05792,loss_161.0685,fragment_206.15284,fragment_183.1492,fragment_149.02359,fragment_190.12195,fragment_240.16841,fragment_206.65332,fragment_241.15283,fragment_71.06866,fragment_134.03645,fragment_133.09783,fragment_133.09596,fragment_133.10075,fragment_133.08622,fragment_133.07609,fragment_133.59714
Topic 67,fragment_65.03876,fragment_119.06857,fragment_87.07938,fragment_135.02194,fragment_73.03981,loss_334.21407,fragment_134.08154,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.9566,fragment_134.09674,fragment_133.09596
Topic 68,fragment_82.06492,fragment_128.07017,fragment_67.04186,loss_46.0421,fragment_134.04803,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,loss_334.21407,fragment_133.07609,fragment_134.08154,fragment_134.09674
Topic 69,fragment_100.07617,fragment_146.11771,loss_334.21407,fragment_134.05987,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.08154,fragment_134.09674,fragment_134.9566,fragment_135.00705,fragment_135.01156
Topic 70,fragment_58.99519,fragment_86.98994,fragment_186.02244,fragment_112.02172,fragment_140.01666,loss_92.01082,fragment_158.02747,fragment_105.00058,fragment_101.02307,loss_110.02091,loss_163.04779,loss_122.00377,fragment_70.99537,fragment_146.04579,fragment_76.02142,fragment_98.0065,fragment_57.98744,fragment_100.02126,fragment_112.03859
Topic 71,fragment_62.06015,fragment_162.07563,loss_125.06848,fragment_144.06581,fragment_95.04928,loss_96.04179,loss_36.02096,fragment_134.01282,loss_84.04227,fragment_124.01637,fragment_268.05986,fragment_134.08154,fragment_286.06987,fragment_208.03813,fragment_115.03912,fragment_404.09751,loss_124.03721,loss_119.05777,fragment_126.05431
Topic 72,fragment_118.08606,fragment_76.07555,loss_117.07887,loss_135.08938,fragment_107.04976,loss_177.09994,fragment_160.0977,fragment_232.02826,fragment_135.04424,fragment_133.59714,fragment_134.02756,fragment_134.01282,loss_334.21407,fragment_134.04498,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_133.08622,fragment_133.07609
Topic 73,loss_149.06856,loss_163.08426,fragment_130.0857,loss_177.09994,loss_105.04226,fragment_128.1074,fragment_98.98379,loss_161.0685,fragment_191.13843,loss_36.02096,fragment_197.12817,fragment_72.08118,fragment_134.01282,loss_334.21407,fragment_133.59714,fragment_134.03645,fragment_133.10075,fragment_133.09783,fragment_134.02756
Topic 74,fragment_56.96508,fragment_83.04955,fragment_101.05962,loss_100.0521,fragment_162.11279,fragment_96.99557,fragment_176.96075,fragment_135.00705,fragment_116.99703,fragment_214.96415,fragment_232.97376,fragment_115.00512,fragment_134.01282,fragment_133.59714,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_133.10075
Topic 75,fragment_81.06995,fragment_121.10142,fragment_149.09613,fragment_107.0855,loss_334.21407,fragment_134.04803,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.05987,fragment_133.07609,fragment_134.08154,fragment_134.09674
Topic 76,loss_60.02086,loss_102.03124,fragment_102.05461,loss_334.21407,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.08154,fragment_134.05987,fragment_133.07609,fragment_134.09674,fragment_134.9566
Topic 77,loss_137.06878,loss_211.06879,fragment_144.08045,fragment_156.08044,fragment_130.06456,fragment_129.06982,fragment_154.06558,fragment_168.08132,fragment_247.10704,fragment_182.06104,fragment_167.07339,loss_35.0369,loss_225.08475,fragment_128.0619,fragment_146.05925,fragment_183.06739,fragment_258.11341,loss_109.03721,fragment_350.12592
Topic 78,fragment_125.07074,fragment_175.11989,fragment_303.07478,fragment_97.04011,loss_234.10936,loss_87.06837,fragment_70.02898,fragment_230.12653,fragment_99.09126,fragment_137.04146,fragment_341.03037,fragment_134.04498,loss_334.21407,fragment_134.03645,fragment_134.04673,fragment_134.01282,fragment_133.59714,fragment_133.10075,fragment_133.09783
Topic 79,fragment_125.01505,fragment_155.02613,fragment_212.04858,fragment_184.05331,fragment_152.02578,fragment_183.02031,fragment_138.99476,fragment_53.03885,fragment_89.03855,fragment_77.03869,fragment_51.02335,fragment_208.09519,fragment_370.05065,fragment_268.03874,fragment_191.06743,fragment_378.0554,fragment_378.13526,fragment_181.08397,fragment_153.06555
