Topic 36,fragment_98.98379,fragment_91.05485,fragment_292.19186,fragment_131.04932,fragment_168.13915,fragment_207.10213,fragment_147.08077,fragment_225.07267,fragment_113.0236,fragment_116.99462,fragment_163.07617,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_132.99595,fragment_132.39426,fragment_133.05262,fragment_133.06434,loss_197.12615
Topic 37,fragment_144.99353,fragment_189.11181,loss_177.07473,loss_122.06891,fragment_187.12109,fragment_74.02347,fragment_55.05462,fragment_125.07074,fragment_98.07109,loss_149.06856,fragment_126.10251,fragment_60.04474,fragment_156.08044,loss_119.06962,loss_104.05803,fragment_128.07017,fragment_143.08175,fragment_213.08587,fragment_205.12889
Topic 38,loss_178.04747,loss_150.0526,loss_132.04208,fragment_128.04547,fragment_110.03448,fragment_243.07153,fragment_187.13197,fragment_55.02948,fragment_225.06213,fragment_141.12793,fragment_82.04025,fragment_197.06788,loss_115.02658,fragment_242.07553,fragment_152.04527,fragment_260.08752,fragment_132.99595,fragment_132.39426,fragment_133.04831
Topic 39,loss_88.01592,loss_104.04715,fragment_152.08244,fragment_118.07495,loss_74.03661,loss_103.0267,fragment_57.0702,fragment_90.03746,loss_101.04741,fragment_82.06492,fragment_133.07609,fragment_133.05131,fragment_133.04976,fragment_133.04831,fragment_132.99595,fragment_133.05262,fragment_133.06434,loss_197.12615,fragment_133.09596
Topic 40,loss_119.05777,fragment_120.06529,fragment_114.06679,fragment_117.0547,fragment_141.06603,loss_165.0633,fragment_99.04448,loss_189.07472,fragment_123.05493,loss_137.06878,fragment_201.07702,loss_59.04734,loss_146.05758,fragment_103.06316,loss_130.06241,loss_163.04779,fragment_128.07017,loss_179.07937,fragment_85.08404
Topic 41,fragment_80.04943,loss_197.12615,fragment_132.07688,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756
Topic 42,fragment_78.034,fragment_79.04144,fragment_53.03885,fragment_57.0702,fragment_106.0287,loss_59.03653,fragment_108.04416,fragment_93.05703,fragment_133.04831,fragment_133.04976,fragment_132.99595,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_132.39426,fragment_133.07609,fragment_133.08622,fragment_133.10075,fragment_133.09596
Topic 43,fragment_81.06995,fragment_119.0856,loss_137.06878,fragment_137.09643,fragment_137.13277,fragment_155.10684,fragment_95.08533,loss_95.05897,fragment_179.14227,loss_123.05281,loss_132.04208,loss_81.04259,loss_130.06241,fragment_183.10246,loss_99.05336,loss_146.05758,loss_163.08426,fragment_141.05497,loss_77.08371
Topic 44,fragment_60.05585,loss_105.05362,loss_77.05846,loss_88.02715,loss_115.02658,fragment_134.04498,fragment_57.06995,fragment_188.10247,fragment_133.07609,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_134.05987,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.08622,fragment_134.04673
Topic 45,fragment_120.08038,fragment_53.03885,fragment_182.06331,fragment_316.11221,fragment_166.03302,fragment_78.9555,fragment_134.04803,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075
